,Index,Name,DisplayName,PostalCode,GoogleMapsUri
134,191,places/ChIJAQC8U8sLkkYRlrpKMMFx9WA,Huippu 34,00100,https://maps.google.com/?cid=6986615471488023190
135,195,places/ChIJTY5fbLMLkkYRXc92ALXLZJw,Rax Pizzabuffet,00100,https://maps.google.com/?cid=11269356145845129053
136,196,places/ChIJS3exS4ELkkYRwsUnLN7q4CI,The Plaza - Wine & Craft Beer,00100,https://maps.google.com/?cid=2513266832017180098
137,197,places/ChIJnapTGuYLkkYRxm1lHIKytrs,Taqueria Lopez y Lopez | Kamppi,00100,https://maps.google.com/?cid=13526194802745765318
138,198,places/ChIJZQork-4LkkYRgG3uVImobf8,Raan Khao Gaeng Thai Street Food,00100,https://maps.google.com/?cid=18405552559921982848
139,199,places/ChIJdSenVssLkkYR2DjO3dthKS0,Club Deportivo,00100,https://maps.google.com/?cid=3254239802698905816
140,200,places/ChIJz9P3UN8LkkYRNznmZyin89A,Taco Bell,00100,https://maps.google.com/?cid=15056561771213371703
141,201,places/ChIJfRPYqDQKkkYRj9BwvDdePhY,Burger King,00100,https://maps.google.com/?cid=1602822110868197519
142,204,places/ChIJmVnECY0LkkYR0ddQw6n0Ec0,Burger Company,00100,https://maps.google.com/?cid=14776860862342813649
143,205,places/ChIJhXYXqjQKkkYRDkVg3ykTA4g,Singapore Hot Wok,00100,https://maps.google.com/?cid=9800698284650546446
144,206,places/ChIJa_FPrTQKkkYRHIkkCTRHOG8,Ravintola Ilves,00100,https://maps.google.com/?cid=8014233825723058460
145,207,places/ChIJlXm-Jbn0jUYRpD-7AFzrpZI,Tortilla House,00100,https://maps.google.com/?cid=10567110881076527012
146,208,places/ChIJz8-jeuoLkkYR2b8VGncLiTY,Almost Vege Oy,00100,https://maps.google.com/?cid=3929684756024115161
147,209,places/ChIJhxwbZgALkkYRrmn1RljioCM,Korea Bowl Kamppi,00100,https://maps.google.com/?cid=2567300656376670638
148,210,places/ChIJGX3qVDMKkkYRPK8UA96y_Dk,Restaurant Fisken på Disken,00100,https://maps.google.com/?cid=4178411220897148732
149,211,places/ChIJod0mVDMKkkYRBct4Nc-mG-k,Hesburger Kamppi,00100,https://maps.google.com/?cid=16797202644093946629
150,212,places/ChIJ9wG5ksQLkkYR7ydpf10-POM,Phở Nokis,00100,https://maps.google.com/?cid=16374030916502759407
151,213,places/ChIJA4kadzULkkYRJBY4NJglu2A,Noki Sushi & Bar,00100,https://maps.google.com/?cid=6970206183927322148
152,214,places/ChIJSZz0rDQKkkYR8DNKnBPJGOQ,Dragon Spring,00100,https://maps.google.com/?cid=16436107926152295408
153,215,places/ChIJffhKszQKkkYRhB1_beXjbyw,Restaurant Bruuveri,00100,https://maps.google.com/?cid=3202028434607775108
154,216,places/ChIJk5NyqjQKkkYRfFI00QDMt1I,Thai Orchid Villa Kamppi,00100,https://maps.google.com/?cid=5960456935730074236
155,217,places/ChIJ0zZvPAALkkYRNoWHq0YrUbI,Noki Noodle Bar,00100,https://maps.google.com/?cid=12849098794390226230
156,218,places/ChIJk0qdHrILkkYRcyXAwu-xjeI,Luckiefun’s Kamppi,00100,https://maps.google.com/?cid=16324899867610588531
157,224,places/ChIJ212mDNILkkYRBpSa0oJxMeo,Ravintola Don Corleone,00100,https://maps.google.com/?cid=16875394085426992134
158,225,places/ChIJX_0JvJ0LkkYR4HlaGnEy2xQ,MUJI Ravintola,00100,https://maps.google.com/?cid=1502850362013022688
159,226,places/ChIJ4eVsluYLkkYRHrXwMpAB6Q4,Seoul 88,00100,https://maps.google.com/?cid=1074391704946128158
160,227,places/ChIJRb0Qa7ULkkYRWAFub49E3Og,Bali Brunch Kamppi,00100,https://maps.google.com/?cid=16779361694516117848
161,228,places/ChIJ7ZkmUTMKkkYRLx9CRGeDUmI,Sandro,00100,https://maps.google.com/?cid=7084869643357265711
162,229,places/ChIJod0mVDMKkkYRb2MWRXteELo,Kortteli,00100,https://maps.google.com/?cid=13407319974215050095
163,230,places/ChIJfzghVjMKkkYREcdcCGQm570,Fafa's,00100,https://maps.google.com/?cid=13683948203867424529
164,231,places/ChIJ3zAqRnULkkYRZ0i3zX3f3Yc,Ravintola Sansar,00100,https://maps.google.com/?cid=9790226896388573287
165,232,places/ChIJSxb6jTQKkkYRJWUYNG8ToKw,Kiinteistö Oy Aallon Huippu,00100,https://maps.google.com/?cid=12438963539133621541
166,233,places/ChIJFRhCijQKkkYREiMAvVwnJtk,McDonald's Helsinki Kamppi,00100,https://maps.google.com/?cid=15647237234606744338
167,234,places/ChIJISHcjDQKkkYRZ3pB9PpsAUo,Ravintola Factory Kamppi,00100,https://maps.google.com/?cid=5332663258878933607
168,235,places/ChIJwYfK210LkkYRqTDU1ENfzOg,Nanapo sushi,00100,https://maps.google.com/?cid=16774887456986378409
169,236,places/ChIJk2ig8zQKkkYRt7Y7YQnXnQk,Kampin Pippuri,00100,https://maps.google.com/?cid=692946352970905271
170,237,places/ChIJN2tpV-ULkkYRH1Na7Rvjebc,Taco Bell Tennispalatsi,00100,https://maps.google.com/?cid=13220847890208543519
171,238,places/ChIJXwYSWVIojkYRZQPO1tSJ9yQ,Cmb Ravintolat,00100,https://maps.google.com/?cid=2663749251842835301
172,240,places/ChIJmX-1XDQKkkYRO8U92-euS5U,India Tandoor,00100,https://maps.google.com/?cid=10757884445743498555
173,241,places/ChIJdRpGwDQKkkYRzPGacW8WllQ,Subway,00100,https://maps.google.com/?cid=6095083813595705804
174,244,places/ChIJ9ciHWswLkkYRSOWy2gR0f78,Restaurant Bangkok9 - Citycenter,00101,https://maps.google.com/?cid=13798875347484337480
175,245,places/ChIJp2HzzXsLkkYRFRoWQ8hdxrM,Biáng!,00100,https://maps.google.com/?cid=12954144492878174741
176,246,places/ChIJ3xhtqnQLkkYR-r-ULGSjHWg,Momotoko CityCenter,00100,https://maps.google.com/?cid=7502332204909117434
177,247,places/ChIJjQEMWswLkkYR56XF2lDwVg4,Döner Harju City,00100,https://maps.google.com/?cid=1033277394586543591
178,248,places/ChIJ9ciHWswLkkYRL4Mj6WuXFpg,Sushibar+Wine City,00100,https://maps.google.com/?cid=10959113232981394223
179,249,places/ChIJ10EZyt8LkkYRmdva3ngDWSM,Naked Taco,00100,https://maps.google.com/?cid=2547070881924570009
180,250,places/ChIJpXLsUJALkkYRjqbmSxHqCzM,Social Burgerjoint,00100,https://maps.google.com/?cid=3678290880686892686
181,251,places/ChIJ6UyZp5ILkkYRIZGzrmJZCZo,Napule Pizzeria Napoletana,00100,https://maps.google.com/?cid=11099501037003968801
182,252,places/ChIJY8MyuZMLkkYRhNaWiC1L3WM,Aito Fresh,00101,https://maps.google.com/?cid=7195990438545118852
183,253,places/ChIJbWldYu8LkkYRnRdI_AXz4AY,Sandro Citykäytävä,00100,https://maps.google.com/?cid=495663166043723677
184,254,places/ChIJocBPUcwLkkYRl0eugP7SiLo,Leonardo Bar & Ristorante,00100,https://maps.google.com/?cid=13441225078409676695
185,255,places/ChIJq5PzRswLkkYR2n24zjfDsmU,Cebitur Oy,00100,https://maps.google.com/?cid=7328134188144033242
186,256,places/ChIJ53pR9swLkkYRQn74-B_3K1c,Luckiefun’s Sushibuffet,00100,https://maps.google.com/?cid=6281385821991370306
187,257,places/ChIJ9YHQdVYLkkYRz6ooye1RtwM,Pizza Cook,00100,https://maps.google.com/?cid=267772784575818447
188,260,places/ChIJyaSVYMwLkkYRmioE4A55Q7Y,UniCafe Kaivopiha,00100,https://maps.google.com/?cid=13133474043137370778
189,261,places/ChIJYY9aZ8wLkkYRKNSayh5JliU,Restaurant Zetor,00100,https://maps.google.com/?cid=2708432622506923048
